customer_id,age,income,purchase_frequency,customer_segment,satisfaction_score
20,66,123596,44,VIP,100
96,67,59888,21,Basic,89
20,52,106546,25,Premium,85
82,75,59158,28,Basic,82
9,66,144398,36,VIP,100
20,43,119823,8,Basic,69
69,65,130546,45,VIP,100
26,66,150000,47,VIP,100
86,69,150000,42,VIP,100
34,38,108345,19,Premium,86
11,45,136057,49,VIP,100
24,63,150000,44,VIP,100
21,60,51658,3,Basic,82
79,65,137499,44,VIP,100
38,79,123045,26,Premium,86
21,64,139000,6,Premium,77
34,48,150000,17,Premium,59
48,66,54939,4,Basic,65
28,69,106780,23,Premium,96
57,69,149560,45,VIP,100
62,36,58350,9,Basic,42
79,33,65397,16,Basic,73
21,39,52953,19,Basic,81
9,58,65502,16,Basic,82
27,63,59817,8,Basic,85
27,64,112548,37,VIP,100
24,34,87302,9,Premium,82
47,66,138453,43,VIP,100
38,47,123960,34,Premium,71
100,80,108692,26,Premium,71
70,40,100726,11,Premium,59
16,66,130251,34,VIP,97
90,37,59310,20,Basic,81
29,51,74479,23,Premium,86
13,53,73143,31,Premium,85
38,62,150000,42,VIP,100
27,22,65381,16,Basic,88
56,60,60787,28,Basic,76
83,23,49263,27,Basic,90
18,77,49762,6,Basic,56
97,42,125379,24,Premium,93
8,45,52075,1,Basic,69
48,71,60909,1,Basic,52
16,49,125274,44,VIP,100
30,58,142276,27,Premium,81
88,57,67716,8,Basic,61
26,73,67224,1,Basic,65
40,41,128869,23,Premium,74
34,58,150000,34,VIP,100
34,58,124606,29,Premium,84
97,25,49454,2,Basic,75
25,74,112936,47,VIP,100
78,51,91554,23,Premium,80
61,61,71657,40,Basic,66
19,46,128458,23,Premium,81
11,68,150000,51,VIP,100
14,60,111699,30,Basic,81
47,62,45622,27,Basic,52
65,67,56538,4,Basic,65
19,24,98025,4,Basic,74
99,36,80247,31,Premium,43
7,69,147912,39,VIP,97
10,67,45940,6,Basic,51
63,60,129297,49,VIP,100
28,30,101902,21,Premium,91
26,71,127189,28,Premium,68
12,57,55803,6,Basic,83
15,57,50835,1,Basic,69
24,61,150000,44,VIP,100
100,50,71228,16,Premium,78
5,61,55470,4,Basic,42
28,36,81649,16,Premium,82
32,67,150000,45,VIP,100
9,35,138430,47,VIP,94
36,75,150000,32,VIP,100
52,66,61109,7,Basic,77
20,80,113329,17,Premium,95
49,73,126027,40,VIP,100
13,69,54633,8,Basic,83
55,73,138022,41,VIP,100
34,63,150000,31,Premium,99
54,48,142837,45,VIP,100
34,40,103725,33,Premium,86
5,64,150000,43,VIP,100
24,71,108866,34,Premium,90
24,46,139962,47,VIP,100
19,80,150000,51,VIP,100
85,69,47960,7,Basic,87
38,58,88164,18,Premium,89
23,73,111896,35,Premium,97
25,80,95107,42,Premium,75
14,73,65885,17,Basic,85
66,66,150000,42,VIP,100
